Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,215,"Aythya (Nyroca) australis (Eyton, 1838)",Black box woodland,2,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,205,"Dendrocygna (Leptotarsis) eytoni (Eyton, 1838)",Black box woodland,4,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,5,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,9,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,522,"Megalurus gramineus (Gould, 1845)",Black box woodland,2,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,58,"Porphyrio (Porphyrio) porphyrio (Linnaeus, 1758)",Black box woodland,1,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,2,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,180,"Threskiornis spinicollis (Jameson, 1835)",Black box woodland,130,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,6,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,43,FALSE,0.32,
