source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S4,EAWS,Merrah Dam,-30.55917,148.2928,1989-01-01,1989,,1990,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.9244999695,92.44999695,False,,True
S4,EAWS,Macquarie Marshes,-30.57806,147.5525,2014-01-01,2014,,2015,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.01,1.0,False,,True
S4,EAWS,,-30.52,147.0166667,1988-01-01,1988,,1989,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.799999998,80.0,False,,True
S4,EAWS,Teridgerie Creek,-30.49972,148.3831,1996-01-01,1996,,1997,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1990-01-01,1990,,1991,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Macquarie Marshes,-30.57806,147.5525,2004-01-01,2004,,2005,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.01,1.0,False,,True
S4,EAWS,Mowima Creek Swamp N,-30.44361,148.1142,1991-01-01,1991,,1992,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.09836065573770492,9.836065574,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1991-01-01,1991,,1992,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.9838709677419355,98.38709677,False,,True
S4,EAWS,Keewong W,-30.58083,147.8603,1991-01-01,1991,,1992,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1992-01-01,1992,,1993,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,,-30.525,147.0666667,1992-01-01,1992,,1993,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.3000000005,30.0,False,,True
S4,EAWS,Norwood Tank,-30.46944,148.4583,1992-01-01,1992,,1993,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1993-01-01,1993,,1994,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,,,False,,True
