cluster_id,region,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,total_abundance,n_points,n_species,n_years,extent_km,urban_fraction_pct,n_sources,sources,predicted_suitability,suitability_tier
245,Northern Basin,-28.43301373441088,150.82601109559505,False,False,Candidate,11128.0,3,12,9,2.63,0.0,1,S4,0.1850599679070609,Moderate
144,Northern Basin,-32.42925899632445,148.7228544205458,False,False,Candidate,10199.0,3,23,35,6.57,0.1982108683812463,1,S4,0.1868072703040879,Moderate
156,Southern Basin,-31.466283433598885,142.14140205735274,False,False,Candidate,6040.0,6,18,1,10.93,0.0054861550959711,1,S4,0.0723901277776691,Low
195,Northern Basin,-29.66120214712744,149.29250072910062,False,False,Candidate,5966.0,3,17,2,5.66,0.0633624790383561,1,S4,0.21041425291978597,High
171,Northern Basin,-30.56509481523497,148.04454608893246,False,False,Candidate,5090.0,5,19,4,8.13,0.0,1,S4,0.21034982910410527,High
148,Southern Basin,-32.4001877202304,142.77266641205472,False,False,Candidate,4419.0,3,26,10,4.15,0.0,1,S4,0.1847361983995033,Moderate
0,Wimmera Disconnected,-36.62095585308534,141.96907209182834,False,False,Candidate,4266.0,27,21,23,13.67,0.0777653853162534,1,S4,0.20224074716968388,Moderate
223,Northern Basin,-28.562862013466624,144.90429315457564,False,False,Candidate,4121.0,7,21,11,6.54,0.0,1,S4,0.04955948799254068,Low
244,Northern Basin,-28.442201171454315,149.6458339966445,False,False,Candidate,3935.0,3,17,17,2.92,0.0,1,S4,0.22985259649621573,High
217,Northern Basin,-28.532347771003145,148.15980508371558,False,False,Candidate,3694.0,57,12,9,25.02,0.1940531427921374,1,S4,0.21856099027790107,High
3,Southern Basin,-36.563737922007206,143.89718194151683,False,False,Candidate,3275.0,21,24,29,18.27,1.704692894294134,1,S4,0.17983830163688544,Moderate
235,Northern Basin,-28.481284407860308,145.70041006022493,False,False,Candidate,2826.0,16,6,11,14.77,0.001047414510678,1,S4,0.18822834591406876,Moderate
251,Northern Basin,-26.556907824226503,150.76971428682003,False,False,Candidate,2703.0,58,18,14,36.1,0.0596882331153274,1,S4,0.18717138135822245,Moderate
68,Southern Basin,-34.523644955185695,143.3093523179765,False,False,Candidate,2684.0,24,10,7,17.32,0.0008877799615849534,1,S4,0.12911251748754737,Low
132,Lachlan Disconnected,-32.4809711729911,145.02231932200547,False,False,Candidate,2612.0,46,13,14,51.68,0.0007376699903274363,1,S4,0.08425695838513603,Low
126,Southern Basin,-32.57809874720707,143.5205809739376,False,False,Candidate,2435.0,6,8,1,6.22,0.0,1,S4,0.10625787720507877,Low
131,Southern Basin,-32.528380010514525,144.12960878738338,False,False,Candidate,2045.0,29,13,10,27.22,0.0032154247992991,1,S4,0.11169315583768563,Low
175,Northern Basin,-30.51632646497632,150.7117575052784,False,False,Candidate,1878.0,11,14,9,16.47,0.0022919707624075,1,S4,0.205419213889972,High
236,Northern Basin,-28.489022738173585,150.68155538347472,False,False,Candidate,1416.0,5,16,8,6.51,0.1641917124992248,1,S4,0.18453494510897248,Moderate
135,Lachlan Disconnected,-32.49154606078219,145.83126214415515,False,False,Candidate,1412.0,47,18,22,53.07,0.0260530498063883,1,S4,0.14701463836921388,Low
263,Northern Basin,-26.48941373009237,151.0354893137499,False,False,Candidate,1250.0,12,19,17,11.65,0.0614887443665876,1,S4,0.19084956353916505,Moderate
177,Northern Basin,-30.515167794278632,144.11275999053015,False,False,Candidate,1195.0,6,8,5,4.13,0.0,1,S4,0.09467864476933009,Low
153,Northern Basin,-32.26088227595549,148.1353112656326,False,False,Candidate,1047.0,8,14,1,13.98,0.0420162213534998,1,S4,0.1637718343347105,Low
227,Northern Basin,-28.465112356591725,146.1008575930393,False,False,Candidate,982.0,23,17,25,24.0,0.0005801228877725633,1,S4,0.17915038815647846,Moderate
191,Northern Basin,-30.070464145428,145.9825997223511,False,False,Candidate,885.0,3,18,1,6.06,0.0,1,S4,0.2609972113164801,High
71,Southern Basin,-34.48368429525622,146.5327586159696,False,False,Candidate,779.0,7,9,5,12.56,0.2878441989489543,1,S4,0.16012459052166433,Low
89,Lachlan Disconnected,-34.16935429235431,144.36270093380094,False,False,Candidate,757.0,3,11,1,1.42,0.0,1,S4,0.20371059290700905,High
83,Southern Basin,-34.22287404873925,146.15159903937297,False,False,Candidate,748.0,3,14,1,4.41,0.3105362190380982,1,S4,0.18837987069862966,Moderate
2,Wimmera Disconnected,-36.59290538459189,142.6424076407675,False,False,Candidate,715.0,10,17,13,18.24,0.3001290742097937,1,S4,0.19199393941852644,Moderate
