cluster_id,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,lat_min,lat_max,lon_min,lon_max,extent_km,habitat_tier
69,-34.4578565835625,149.361297288125,160,1,S4,False,3238.0,12,12,True,-34.58333,-34.355,149.0015,149.5415,55.54,Breeding confirmed
205,-29.398325529411768,149.72374264705883,17,2,"S3,S4",True,2932.0,19,5,False,-29.4262,-29.32028,149.6506,149.7903,17.91,Priority
17,-36.51066675,147.0720305,4,1,"S3,S4",False,2867.0,13,1,True,-36.5145,-36.5,147.05,147.080822,3.19,Breeding confirmed
26,-36.39618636363636,141.56241817272726,11,1,S4,False,2841.0,19,23,True,-36.43167,-36.385,141.4833333,141.6467,15.49,Breeding confirmed
235,-28.47637625125,145.7005270875,16,1,S4,False,2826.0,6,11,False,-28.503,-28.45236667,145.6267,145.7666667,14.77,Candidate
47,-35.690071315789474,144.19768852631577,19,2,"S3,S4",True,2733.0,8,4,False,-35.73056,-35.65194,144.1397,144.225,11.63,Priority
251,-26.557302701034484,150.78244770172415,58,1,S4,False,2703.0,18,14,False,-26.64033333,-26.48333,150.5983,150.9166667,36.1,Candidate
68,-34.52364708333334,143.30945416666665,24,1,S4,False,2684.0,10,7,False,-34.59889,-34.46633333,143.25,143.35,17.32,Candidate
186,-30.38906343952381,149.64719894126983,63,1,S4,False,2639.0,11,26,True,-30.45028,-30.36139,149.3833333,149.813,42.31,Breeding confirmed
132,-32.48470913043479,145.0188804347826,46,1,S4,False,2612.0,13,14,False,-32.58028,-32.36666,144.7547,145.2451667,51.68,Candidate
104,-33.76817333333333,144.62953333333334,3,1,"S3,S4",False,2503.0,12,1,False,-33.76889,-33.76758,144.6272,144.6342,0.66,Candidate
126,-32.58099999833333,143.519,6,1,S4,False,2435.0,8,1,False,-32.59858333,-32.55466667,143.501,143.5423333,6.22,Candidate
198,-29.5778154,148.9756954,5,1,"S1,S3,S4",False,2425.0,32,2,True,-29.581,-29.5724,148.9545,148.9891,3.47,Breeding confirmed
271,-26.436650475714284,146.6723238,7,1,S4,False,2171.0,25,7,True,-26.47167,-26.36555,146.6589,146.6835,12.03,Breeding confirmed
179,-30.5109484,145.134826,5,1,S3,False,2112.0,23,3,False,-30.5178,-30.4982,145.109209,145.149521,4.43,Candidate
131,-32.531854942413794,144.1367839103448,29,1,S4,False,2045.0,13,10,False,-32.58944,-32.48333,144.0044,144.2666667,27.22,Candidate
234,-28.48787,149.34612778333334,6,1,S4,False,1959.0,17,8,True,-28.50889,-28.46944,149.3166667,149.3667,6.56,Breeding confirmed
175,-30.51253606090909,150.7357818181818,11,1,S4,False,1878.0,14,9,False,-30.53716667,-30.49389,150.63,150.7947,16.47,Candidate
55,-35.217597999999995,143.45567999999997,5,2,"S3,S4",True,1878.0,21,7,False,-35.25389,-35.1991,143.4356,143.4647,6.63,Priority
98,-33.9252775,144.40820000000002,4,2,"S3,S4",True,1781.0,21,7,False,-33.94,-33.90861,144.3975,144.4272,4.43,Priority
4,-36.588442,145.22480667,10,1,S4,False,1744.0,17,11,True,-36.62333,-36.55861,145.1772,145.2666667,10.73,Breeding confirmed
81,-34.23948428571428,142.13085714285714,7,2,"S3,S4",True,1624.0,7,1,True,-34.31917,-34.16083,142.1003,142.1536,18.24,Priority
202,-29.44843875,148.7164625,8,2,"S3,S4",True,1595.0,15,4,False,-29.46556,-29.43167,148.7114,148.7217,3.89,Priority
130,-32.53929690428571,144.67266429285715,14,1,S4,False,1474.0,16,15,True,-32.59283333,-32.45,144.6361667,144.7166667,17.55,Breeding confirmed
236,-28.492155332,150.67623334,5,1,S4,False,1416.0,16,8,False,-28.50283333,-28.46611,150.65,150.702,6.51,Candidate
135,-32.4937475887234,145.83200638510638,47,1,S4,False,1412.0,18,22,False,-32.59,-32.38028,145.5575,146.0669,53.07,Candidate
151,-32.340743333333336,143.0716,3,1,"S3,S4",False,1411.0,8,8,False,-32.34889,-32.33167,143.0614,143.0856,2.97,Candidate
199,-29.5561219,149.6464988,10,2,"S1,S3,S4",True,1323.0,38,11,True,-29.58528,-29.526218,149.5817,149.6844,11.89,Priority
194,-29.67481666666667,149.09333333333333,3,2,"S3,S4",True,1288.0,17,5,False,-29.68389,-29.66528,149.0911,149.0972,2.15,Priority
218,-28.527495535535714,144.2822874982143,56,1,S4,False,1283.0,12,16,True,-28.61383333,-28.435,144.1575,144.4425,34.15,Breeding confirmed
263,-26.4916075,151.03943888333333,12,1,S4,False,1250.0,19,17,False,-26.5175,-26.45,150.9866667,151.0764,11.65,Candidate
177,-30.516665555,144.10992221666666,6,1,S4,False,1195.0,8,5,False,-30.52833,-30.49833333,144.1003,144.1258333,4.13,Candidate
180,-30.453363678275863,146.05325976896552,29,1,S4,False,1176.0,11,7,True,-30.51,-30.3925,145.9253333,146.2166667,30.78,Breeding confirmed
153,-32.25906125,148.1384875,8,1,S4,False,1047.0,14,1,False,-32.31055,-32.21111,148.0953,148.1867,13.98,Candidate
258,-26.506983577317076,146.03698691219512,41,1,S4,False,1026.0,12,18,True,-26.59333,-26.4585,145.9166667,146.1089,24.26,Breeding confirmed
58,-34.74102,142.23796666666667,3,2,"S3,S4",True,983.0,20,3,False,-34.74472,-34.73806,142.2355,142.2406,0.87,Priority
227,-28.469114782608695,146.1238956652174,23,1,S4,False,982.0,17,25,False,-28.53778,-28.38028,146.0166667,146.1851667,24.0,Candidate
201,-29.459768333333333,149.86038333333332,6,2,"S3,S4",True,973.0,24,7,False,-29.48778,-29.43417,149.8208,149.8842,8.54,Priority
191,-30.070463333333333,145.98260000000002,3,1,S4,False,885.0,18,1,False,-30.09306,-30.04333,145.9686,145.9947,6.06,Candidate
71,-34.48246,146.53301905714287,7,1,S4,False,779.0,9,5,False,-34.53833,-34.44556,146.4881,146.5666667,12.56,Candidate
89,-34.16935333333333,144.3627,3,1,S4,False,757.0,11,1,False,-34.17361,-34.16667,144.3542,144.3672,1.42,Candidate
249,-28.180788333333336,148.53908333333334,6,2,"S3,S4",True,748.0,12,2,False,-28.20056,-28.14389,148.5075,148.5917,10.37,Priority
83,-34.22287333333333,146.1516,3,1,S4,False,748.0,14,1,False,-34.24417,-34.2075,146.1392,146.1578,4.41,Candidate
2,-36.591724,142.64830999999998,10,1,S4,False,715.0,17,13,False,-36.63194,-36.56667,142.5622,142.75,18.24,Candidate
141,-32.470556,142.94917334,5,1,S4,False,677.0,16,8,False,-32.51667,-32.45055,142.9094,143.0,11.22,Candidate
145,-32.4157675,143.46732500000002,4,1,S4,False,652.0,4,1,False,-32.42556,-32.40139,143.4342,143.4845,5.42,Candidate
163,-30.61211111,147.664,3,1,S4,False,645.0,7,1,False,-30.619,-30.6,147.626,147.7,7.38,Candidate
120,-32.686520333333334,149.18560233333335,3,1,S3,False,623.0,13,1,False,-32.6886,-32.6824,149.1834,149.186707,0.75,Candidate
44,-35.821044,145.475365,6,2,"S3,S4",True,609.0,12,3,False,-35.82639,-35.811025,145.4561,145.4847,3.09,Priority
252,-26.550043435846153,150.32255133384615,65,1,S4,False,586.0,9,8,False,-26.6305,-26.475,150.05,150.5558333,53.11,Candidate
54,-35.38824944444444,143.7207058888889,9,2,"S3,S4",True,548.0,13,3,False,-35.39722,-35.384065,143.6603,143.7583,8.99,Priority
222,-28.566764167499997,147.228466675,4,1,S4,False,543.0,5,5,False,-28.58066667,-28.56,147.2167,147.2453,3.61,Candidate
216,-28.582819090909087,148.00156061818183,11,1,S4,False,502.0,9,3,False,-28.63333,-28.4925,147.95,148.0666667,19.33,Candidate
124,-32.6244425,143.859525,4,1,S4,False,495.0,7,5,False,-32.63111,-32.62083,143.85,143.8689,2.1,Candidate
125,-32.58952428571428,144.52179524285717,7,1,S4,False,482.0,15,13,False,-32.62389,-32.57195,144.4772,144.5592,9.59,Candidate
221,-28.579258890000002,145.84256666666667,3,1,S4,False,481.0,6,7,False,-28.59167,-28.56416667,145.8289,145.8533,3.87,Candidate
155,-32.16694333333333,148.39520000000002,3,1,S4,False,404.0,16,1,False,-32.17194,-32.16195,148.3694,148.4156,4.48,Candidate
197,-29.567462,149.49316,5,2,"S3,S4",True,384.0,8,7,False,-29.59389,-29.55028,149.4878,149.4997,4.98,Priority
123,-32.595332962222216,144.37375925555554,9,1,S4,False,380.0,6,6,False,-32.64056,-32.53333,144.3333333,144.4,13.44,Candidate
140,-32.49813357142857,149.5954357142857,14,1,S4,False,361.0,5,3,False,-32.51667,-32.49333,149.5,149.7,18.9,Candidate
70,-34.5237525,140.495833325,4,1,S4,False,343.0,4,1,False,-34.53167,-34.5,140.45,140.5333333,8.39,Candidate
230,-28.46794701736842,147.49483332631578,19,1,S4,False,341.0,5,2,False,-28.52083333,-28.41667,147.4228333,147.55,16.96,Candidate
18,-36.5015275,145.583825,8,1,S4,False,336.0,13,3,False,-36.50667,-36.5,145.5467,145.65,9.25,Candidate
166,-30.55403698380952,148.95859841428572,21,1,S4,False,330.0,15,15,True,-30.60667,-30.49633333,148.8367,149.1,27.99,Breeding confirmed
254,-26.603843333333334,150.33308333333332,6,1,S4,False,318.0,13,9,False,-26.61783333,-26.59639,150.3241667,150.3439,3.08,Candidate
185,-30.469336,143.52162,5,1,S4,False,317.0,4,2,False,-30.5,-30.46167,143.5,143.55,6.4,Candidate
97,-33.9459575,144.3425,4,2,"S3,S4",True,304.0,9,1,False,-33.95417,-33.93667,144.3267,144.355,3.25,Priority
229,-28.49946666625,146.37453333125,16,1,S4,False,298.0,9,17,False,-28.52472,-28.47556,146.25,146.45,20.26,Candidate
28,-36.370326666,146.74357666,10,1,S4,False,259.0,14,18,False,-36.37833,-36.36278,146.6933,146.7667,6.78,Candidate
173,-30.521588571428573,146.64889524285715,7,1,S4,False,254.0,9,8,False,-30.545,-30.46833,146.6166667,146.6819,10.55,Candidate
260,-26.512566667272726,146.38501666363638,22,1,S4,False,252.0,12,19,False,-26.58333,-26.48833,146.25,146.5081667,27.73,Candidate
119,-32.70142857142857,148.14086189999998,7,1,S4,False,245.0,6,1,False,-32.76556,-32.625,148.1222,148.1697,16.22,Candidate
241,-28.431637879090907,147.28331516363636,11,1,S4,False,239.0,5,9,False,-28.45306,-28.36667,147.2586667,147.3166667,11.14,Candidate
269,-26.476016666666666,145.43906666666666,3,1,S4,False,227.0,4,5,False,-26.48139,-26.47333,145.4172,145.4666667,5.0,Candidate
60,-34.67556,145.05,3,1,S4,False,211.0,4,1,False,-34.67556,-34.67556,145.0333333,145.0666667,3.04,Candidate
5,-36.602468,142.37037334,5,1,S4,False,178.0,6,1,False,-36.615,-36.58333,142.35,142.3833,4.6,Candidate
200,-29.56763075,149.40813500000002,4,2,"S1,S3,S4",True,174.0,14,10,True,-29.56917,-29.56667,149.4061,149.41,0.47,Priority
257,-26.53401611166667,146.62352776666668,6,1,S4,False,168.0,11,16,False,-26.56194,-26.50221667,146.5698333,146.6483,10.23,Candidate
38,-35.9872825,146.5002,4,2,"S3,S4",True,162.0,11,7,False,-35.99417,-35.9833,146.5,146.5008,1.21,Priority
76,-34.371245,142.160416675,4,1,S4,False,161.0,5,1,False,-34.385,-34.36666,142.1166667,142.2,7.9,Candidate
262,-26.5104175,151.170083325,4,1,S4,False,159.0,8,1,False,-26.52667,-26.5,151.15,151.1833333,4.44,Candidate
213,-28.655722000000004,144.86492,5,1,S4,False,153.0,4,1,False,-28.66694,-28.65055,144.8511,144.8958,4.72,Candidate
168,-30.583055553333335,150.4383889,3,1,S4,False,150.0,2,1,False,-30.58933333,-30.57383333,150.4285,150.4521667,2.84,Candidate
133,-32.56249444333333,145.01788886666668,3,1,S4,False,134.0,6,1,False,-32.57295,-32.5479,145.0068333,145.0328333,3.69,Candidate
40,-35.97036333333333,145.77646666666666,3,2,"S3,S4",True,120.0,13,7,False,-35.97167,-35.9697,145.7747,145.78,0.52,Priority
118,-32.90435333333333,148.09016666666665,3,1,S4,False,111.0,8,1,False,-32.91972,-32.88556,148.0514,148.1169,7.19,Candidate
