cluster_id,region,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,extent_km,habitat_tier,urban_fraction_pct,is_urban
182,Northern Basin,,,12,1,S4,,,5,12,,18.98,,0.005199293864738394,0
233,Northern Basin,,,4,1,S4,,,4,2,,5.94,,0.6130298362281372,0
122,Southern Basin,,,4,1,S4,,,1,2,,4.49,,0.0,0
134,Lachlan Disconnected,,,6,1,S4,,,3,1,,13.0,,0.038190393242732504,0
183,Northern Basin,,,5,1,S4,,,5,1,,7.31,,0.007824035418395818,0
176,Northern Basin,,,10,1,S4,,,4,2,,13.56,,0.0,0
146,Southern Basin,,,3,1,S4,,,5,5,,5.67,,0.0,0
259,Northern Basin,,,9,1,S4,,,5,2,,12.0,,0.0,0
11,Southern Basin,,,5,1,S4,,,3,2,,8.57,,0.3155024228901608,0
238,Northern Basin,,,8,1,S4,,,2,6,,10.87,,0.0,0
13,Southern Basin,,,3,1,S4,,,6,5,,5.04,,0.5735677532359581,0
174,Northern Basin,,,12,1,S4,,,2,1,,13.03,,0.1316266760075631,0
248,Northern Basin,,,3,1,S4,,,2,1,,6.69,,0.0,0
15,Wimmera Disconnected,,,5,1,S4,,,5,3,,9.09,,0.23699198006579653,0
162,Northern Basin,,,5,1,S4,,,2,1,,11.27,,0.0,0
265,Northern Basin,,,4,1,S4,,,4,4,,5.65,,0.0329690362568896,0
267,Northern Basin,,,3,1,S4,,,2,12,,5.37,,0.0,0
255,Northern Basin,,,6,1,S4,,,3,1,,5.7,,0.019568108399987853,0
239,Northern Basin,,,10,1,S4,,,3,2,,15.94,,0.010922388962227325,0
14,Southern Basin,,,3,1,S4,,,5,1,,5.04,,0.0,0
149,Lachlan Disconnected,,,5,1,S4,,,1,3,,10.11,,0.0,0
75,Lachlan Disconnected,,,3,1,S4,,,2,1,,3.2,,0.0,0
16,Southern Basin,,,4,1,S4,,,3,2,,9.09,,0.17731184975876405,0
261,Northern Basin,,,3,1,S4,,,2,1,,6.46,,0.0,0
138,Lachlan Disconnected,,,3,1,S4,,,3,1,,6.37,,0.0,0
266,Northern Basin,,,6,1,S4,,,1,2,,8.86,,0.0,0
237,Northern Basin,,,4,1,S4,,,2,7,,2.51,,0.0,0
136,Lachlan Disconnected,,,4,1,S4,,,2,3,,7.56,,0.0,0
220,Northern Basin,,,15,1,S4,,,3,7,,30.21,,0.003013999011285402,0
8,Southern Basin,,,3,1,S4,,,3,1,,4.2,,0.020459939438579242,0
228,Northern Basin,,,6,1,S4,,,2,9,,10.7,,0.0,0
20,Wimmera Disconnected,,,6,1,S4,,,4,2,,10.85,,0.6055875052064208,0
142,Southern Basin,,,3,1,S4,,,2,8,,5.83,,0.0,0
240,Northern Basin,,,3,1,S4,,,3,1,,4.09,,0.0,0
106,Lachlan Disconnected,,,4,1,S4,,,1,1,,6.91,,0.025183974452353864,0
268,Northern Basin,,,6,1,S4,,,3,5,,9.39,,0.0,0
73,Wimmera Disconnected,,,3,1,S4,,,3,1,,1.23,,0.0,0
22,Southern Basin,,,4,1,S4,,,3,1,,3.78,,0.03268719973531207,0
181,Northern Basin,,,4,1,S4,,,2,2,,9.98,,0.0,0
256,Northern Basin,,,3,1,S4,,,1,6,,4.89,,0.0,0
253,Northern Basin,,,3,1,S4,,,1,1,,2.1,,0.0,0
143,Southern Basin,,,4,1,S4,,,1,8,,9.06,,0.0,0
139,Southern Basin,,,3,1,S4,,,1,1,,7.85,,0.0,0
187,Northern Basin,,,4,1,S4,,,1,4,,5.58,,0.0,0
264,Northern Basin,,,3,1,S4,,,1,1,,4.96,,0.0,0
225,Northern Basin,,,3,1,S4,,,1,1,,1.09,,0.0,0
232,Northern Basin,,,4,1,S4,,,1,1,,4.55,,0.0,0
101,Lachlan Disconnected,,,3,1,S4,,,1,1,,3.09,,0.0,0
270,Northern Basin,,,3,1,S4,,,0,1,,5.85,,0.0,0
224,Northern Basin,,,3,1,S4,,,0,1,,5.61,,0.0,0
59,Lachlan Disconnected,,,515,2,"S1,S2,S3,S4",,,57,35,,97.73,,0.07117775554730926,0
