Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,prop_surveyed,Comments,survey_date,year,month,water_year
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,179.0,Threskiornis molucca,Black box woodland,18,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,180.0,Threskiornis spinicollis,Black box woodland,51,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,55.0,Tribonyx ventralis,Black box woodland,8,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,133.0,Vanellus (lobipluvia),Black box woodland,13,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,208.0,Anas (anas),Black box woodland,8,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,211.0,Anas (nettion),Black box woodland,92,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,189.0,Ardea (ardea),Black box woodland,16,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,202.0,Chenonetta jubata,Black box woodland,31,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,188.0,Egretta novaehollandiae,Black box woodland,2,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,59.0,Fulica atra,Black box woodland,33,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,146.0,Himantopus himantopus,Black box woodland,42,False,0.32,10 juveniles seen + at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,213.0,Malacorhynchus membranaceus,Black box woodland,18,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,192.0,Nycticorax caledonicus,Black box woodland,1,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,179.0,Threskiornis molucca,Black box woodland,2,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,180.0,Threskiornis spinicollis,Black box woodland,15,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,55.0,Tribonyx ventralis,Black box woodland,18,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,133.0,Vanellus (lobipluvia),Black box woodland,8,False,0.32,at the veg transect points,2016-12-11 07:10:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,211.0,Anas (nettion),Black box woodland,1,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,189.0,Ardea (ardea),Black box woodland,1,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,188.0,Egretta novaehollandiae,Black box woodland,2,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,144.0,Elseyornis melanops,Black box woodland,2,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,59.0,Fulica atra,Black box woodland,2,True,0.32,1 chick,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,213.0,Malacorhynchus membranaceus,Black box woodland,26,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,192.0,Nycticorax caledonicus,Black box woodland,5,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,99.0,Phalacrocorax (phalacrocorax),Black box woodland,1,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,182.0,Platalea (platibis),Black box woodland,1,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,326.0,Todiramphus (todiramphus),Black box woodland,2,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,133.0,Vanellus (lobipluvia),Black box woodland,2,False,0.32,,2017-02-01 16:57:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,189.0,Ardea (ardea),Black box woodland,2,False,0.32,dry other than the dam,2017-02-02 06:35:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,110.0,Chlidonias (pelodes),Black box woodland,1,False,0.32,dry other than the dam,2017-02-02 06:35:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,144.0,Elseyornis melanops,Black box woodland,2,False,0.32,dry other than the dam,2017-02-02 06:35:00,2017,2,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,59.0,Fulica atra,Black box woodland,3,True,0.32,1 chick + dry other than the dam,2017-02-02 06:35:00,2017,2,2017
